"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R59","1608[0603]","1835mil","2020mil","1835mil","2020mil","1862.559mil","2020mil","T","180.00","10K"
"R60","1608[0603]","1835mil","1960mil","1835mil","1960mil","1862.559mil","1960mil","T","180.00","10K"
"R61","1608[0603]","1315mil","2135mil","1315mil","2135mil","1315mil","2162.559mil","T","270.00","4.7K"
"R62","1608[0603]","1367.5mil","2135mil","1367.5mil","2135mil","1367.5mil","2107.441mil","T","90.00","10K"
"R63","1608[0603]","1420mil","2135mil","1420mil","2135mil","1420mil","2107.441mil","T","90.00","1K"
"R64","1608[0603]","1610mil","2145mil","1610mil","2145mil","1610mil","2117.441mil","T","90.00","12K"
"R67","1608[0603]","1505mil","1595mil","1505mil","1595mil","1532.559mil","1595mil","T","180.00","560"
"R68","1608[0603]","1415mil","1570mil","1415mil","1570mil","1415mil","1597.559mil","T","270.00","330"
"R69","1608[0603]","1245mil","1290mil","1245mil","1290mil","1272.559mil","1290mil","T","180.00","120"
"R70","1608[0603]","925mil","2580mil","925mil","2580mil","925mil","2607.559mil","T","270.00","120"
"R71_IRFS1","1608[0603]","3885mil","2340mil","3885mil","2340mil","3857.441mil","2340mil","B","360.00","4.7"
"R71_IRFS2","1608[0603]","1840mil","2310mil","1840mil","2310mil","1867.559mil","2310mil","B","180.00","4.7"
"R72_IRFS1","1608[0603]","3867.441mil","3114.882mil","3867.441mil","3114.882mil","3867.441mil","3142.441mil","B","270.00","4.7"
"R72_IRFS2","1608[0603]","1830mil","3025mil","1830mil","3025mil","1830mil","3052.559mil","B","270.00","4.7"
"R73_IRFS1","1608[0603]","3860mil","2260mil","3860mil","2260mil","3860mil","2287.559mil","B","270.00","39K"
"R73_IRFS2","1608[0603]","1825mil","2232.441mil","1825mil","2232.441mil","1825mil","2260mil","B","270.00","39K"
"R74_IRFS1","1608[0603]","3867.441mil","2949.882mil","3867.441mil","2949.882mil","3867.441mil","2977.441mil","B","270.00","39K"
"R74_IRFS2","1608[0603]","1827.441mil","2919.882mil","1827.441mil","2919.882mil","1827.441mil","2947.441mil","B","270.00","39K"
"R75_IRFS1","1608[0603]","4395mil","2335mil","4395mil","2335mil","4367.441mil","2335mil","B","360.00","4.7"
"R75_IRFS2","1608[0603]","2350mil","2325mil","2350mil","2325mil","2322.441mil","2325mil","B","360.00","4.7"
"R76_IRFS1","1608[0603]","4375mil","2267.441mil","4375mil","2267.441mil","4375mil","2239.882mil","B","90.00","39K"
"R76_IRFS2","1608[0603]","2330mil","2245mil","2330mil","2245mil","2330mil","2217.441mil","B","90.00","39K"
"R77_IRFS1","1608[0603]","4372.441mil","3114.882mil","4372.441mil","3114.882mil","4372.441mil","3142.441mil","B","270.00","4.7"
"R77_IRFS2","1608[0603]","2330mil","3030mil","2330mil","3030mil","2330mil","3057.559mil","B","270.00","4.7"
"R78_IRFS1","1608[0603]","4372.441mil","2964.882mil","4372.441mil","2964.882mil","4372.441mil","2992.441mil","B","270.00","39K"
"R78_IRFS2","1608[0603]","2330mil","2930mil","2330mil","2930mil","2330mil","2957.559mil","B","270.00","39K"
"R79_IRFS1","5931","3591.756mil","1897.598mil","3591.756mil","1685mil","3591.756mil","1685mil","B","90.00","0.001"
"R79_IRFS2","5931","1551.756mil","1872.598mil","1551.756mil","1660mil","1551.756mil","1660mil","B","90.00","0.001"
"R80_IRFS1","1608[0603]","4895mil","2345mil","4895mil","2345mil","4867.441mil","2345mil","B","360.00","4.7"
"R80_IRFS2","1608[0603]","2890mil","2405mil","2890mil","2405mil","2890mil","2432.559mil","B","270.00","4.7"
"R81_IRFS1","1608[0603]","4917.441mil","3114.882mil","4917.441mil","3114.882mil","4917.441mil","3142.441mil","B","270.00","4.7"
"R81_IRFS2","1608[0603]","2880mil","3025mil","2880mil","3025mil","2880mil","3052.559mil","B","270.00","4.7"
"R82_IRFS1","1608[0603]","4880mil","2270mil","4880mil","2270mil","4880mil","2297.559mil","B","270.00","39K"
"R82_IRFS2","1608[0603]","2845mil","2255mil","2845mil","2255mil","2845mil","2282.559mil","B","270.00","39K"
"R83_IRFS1","1608[0603]","4917.441mil","2959.882mil","4917.441mil","2959.882mil","4917.441mil","2987.441mil","B","270.00","39K"
"R83_IRFS2","1608[0603]","2875mil","2917.441mil","2875mil","2917.441mil","2875mil","2945mil","B","270.00","39K"
"R84","1608[0603]","3510mil","2862.441mil","3510mil","2862.441mil","3510mil","2890mil","T","270.00","1K"
"R85","1608[0603]","3410mil","2862.441mil","3410mil","2862.441mil","3410mil","2890mil","T","270.00","1K"
"R86_IRFS1","5931","4726.756mil","1897.598mil","4726.756mil","1685mil","4726.756mil","1685mil","B","90.00","0.001"
"R86_IRFS2","5931","2686.756mil","1872.598mil","2686.756mil","1660mil","2686.756mil","1660mil","B","90.00","0.001"
"R87","1608[0603]","3575mil","3367.441mil","3575mil","3367.441mil","3575mil","3339.882mil","T","90.00","470"
"R88","1608[0603]","4275mil","3025mil","4275mil","3025mil","4275mil","3052.559mil","T","270.00","2.2K"
"R89","1608[0603]","3810mil","1812.441mil","3810mil","1812.441mil","3837.559mil","1812.441mil","T","180.00","2.2K"
"R90","1608[0603]","3810mil","1762.441mil","3810mil","1762.441mil","3837.559mil","1762.441mil","T","180.00","2.2K"
"R91","1608[0603]","4480mil","3045mil","4480mil","3045mil","4452.441mil","3045mil","T","360.00","560"
"R92","1608[0603]","3810mil","1912.441mil","3810mil","1912.441mil","3782.441mil","1912.441mil","T","360.00","10K"
"R93","1608[0603]","3810mil","1862.441mil","3810mil","1862.441mil","3782.441mil","1862.441mil","T","360.00","10K"
"R94","1608[0603]","3805mil","1705mil","3805mil","1705mil","3777.441mil","1705mil","T","360.00","10K"
"R95","2012[0805]","4412.401mil","2855mil","4375mil","2855mil","4375mil","2855mil","T","360.00","0R"
"R97","2012[0805]","1930mil","1347.401mil","1930mil","1310mil","1930mil","1310mil","T","90.00","0R"
"R98","2012[0805]","4600mil","1447.401mil","4600mil","1410mil","4600mil","1410mil","T","90.00","0R"
"R99","2012[0805]","1400mil","2867.598mil","1400mil","2830.197mil","1400mil","2830.197mil","T","90.00","0R"
"R100","2012[0805]","3968.622mil","3212.598mil","3968.622mil","3250mil","3968.622mil","3250mil","T","270.00","0R"
"R101","2012[0805]","1305mil","1617.598mil","1305mil","1655mil","1305mil","1655mil","T","270.00","0R"
"R102","2012[0805]","4705mil","1477.598mil","4705mil","1515mil","4705mil","1515mil","T","270.00","0R"
"S1","PTS645SH50SMTR92_LFS","2303.583mil","2781.496mil","2215mil","2625mil","2215mil","2937.992mil","T","90.00","SW_TACT"
"Serv1","HDR1X3","3067.5mil","2860mil","3067.5mil","2960mil","3067.5mil","2960mil","T","270.00","Servo"
"T1","SOT-23","3827.402mil","3341.653mil","3790mil","3292.441mil","3790mil","3292.441mil","T","0.00","BC817"
"T2","SOT-23","3687.402mil","3341.653mil","3650mil","3292.441mil","3650mil","3292.441mil","T","0.00","BC817"
"U1","LQFP100_M","3145mil","2055mil","3145mil","2055mil","2845.787mil","2291.22mil","T","0.00","STM32F207VCT6"
"U2_DR1","DRV8302","4135.685mil","1670.354mil","4401.434mil","1522.716mil","4401.43mil","1522.716mil","B","90.00","DRV8302"
"U2_DR2","DRV8302","2098.244mil","1666.457mil","2363.993mil","1518.819mil","2363.989mil","1518.819mil","B","90.00","DRV8302"
"U3","SOT-223","4347.008mil","1952.953mil","4437.559mil","2075mil","4437.559mil","2075mil","T","180.00","1117-3.3"
"U4","LGA_Package","2695mil","3275mil","2945mil","3450mil","2445mil","3350mil","T","270.00","LTM8026"
"U5_DR1","SOT-223","3149.449mil","1612.047mil","3240mil","1490mil","3240mil","1490mil","B","180.00","1117-3.3"
"U5_DR2","SOT-223","1175.551mil","2437.953mil","1085mil","2560mil","1085mil","2560mil","B","360.00","1117-3.3"
"U6","8S1_M","2055mil","1995mil","2055mil","1995mil","1958.543mil","2070mil","T","360.00","AT93C46DN-SP25-B"
"U7","QFN64_2_L","1545mil","1870mil","1545mil","1870mil","1692.638mil","2046.181mil","T","270.00","FT4232HQ-Reel"
"U8","SOIC8","795mil","1820mil","795mil","1820mil","720mil","1723.543mil","T","90.00","MAX3485"
"U9","QFN24","3421.26mil","2693.701mil","3500mil","2772.441mil","3500mil","2644.488mil","T","180.00","MPU9150"
"USB1","Micro_USB_B_Type_Receptacle","4120mil","3462.343mil","4120mil","3515mil","4171.181mil","3409.685mil","T","180.00","USB_Micro_Type_B"
"USB2","Header_4__-MolexPicoBlade","1080mil","2326.287mil","1080mil","2400mil","1080mil","2400mil","T","270.00","USB1"
"X1","ABM7","2565mil","2187.795mil","2565mil","2272.441mil","2565mil","2272.441mil","T","270.00","8MHz"
"X2","0805","2700mil","2289.842mil","2700mil","2252.441mil","2700mil","2252.441mil","T","90.00","32768 Hz"
"X3","ABM7","1967.795mil","2357.638mil","2052.441mil","2357.638mil","2052.441mil","2357.638mil","T","180.00","12MHz"
"Valve1","Header_4__-MolexPicoBlade","1844.5mil","2610mil","1770.787mil","2610mil","1770.787mil","2610mil","T","360.00","Valve1"
"R96","2012[0805]","1810mil","2902.598mil","1810mil","2865.197mil","1810mil","2865.197mil","T","90.00","0R"
"L3_DR2","SDR0805","1105mil","3340mil","1105mil","3340mil","1105mil","3444.331mil","B","360.00","100uH"

